,data_clean
0,
1,small airline
2,ticket advise turn 0800hrs
3,confusion small airport
4,direct office aviation close
5,open 0900hrs tell flight 1300hrs try contact
6,true phone number
7,local guide inform
8,presume bump
9,later flight operate usual confusion check
10,flight 30min problem
11,good airline comoros
12,
13,small airline airline base comoros
14,check disorganise local big package disinterested staff
15,flight fortunately short min
16,time land time
17,short flight like course flight entertainment cabin service biscuit bottle water nice
18,favor fly adria
19,route munich pristina july 2019 lose luggage day row despite numerous phone able locate
20,day later luggage arrive destination completely ruin
21,apply compensation ignore request
22,foolishly book flight 345 euro frankfurt pristina september 2019
23,cancel flight reason hour departure
24,desperate phone customer service rerout compensation respond
25,
26,disgrace
27,shame adria constantly deceive customer
28,book flight airline
29,friend return sofia amsterdam september day send inform flight cancel
30,straight day try reach airline web agent dream solution
31,finally hour cancel flight time minute wait airline able flight lufthansa
32,book adria airway unreliable case ruin day holiday need phone day
33,bad experience rerout cancel flight weekend adria airway
34,
35,week receive email flight cancel
36,offer route change ljubljana sarajevo munich
37,
38,accept
39,flight munich hour return flight email flight cancel
40,rebook hotline accept flight croatian zagreb
41,reach ljubljana later organize transport zagreb ljubljana cost
42,book flight adria airway
43,hear financial situation bad
44,
45,firstly ljubljana airport terrible
46,
47,toilet dirty
48,flight hour delay information
49,information desk question aren‘t possible
50,use airline
51,bad budget airline difficult
52,complain specific flight
53,lufthansa frequent flyer normally fly route munich timisoara
54,summer season lufthansa offer flight route adria airway star alliance member
55,tell bad experience
56,case late fly time
57,offer excuse slot free
58,unacceptable excuse company fly similar coridor problem
59,addition cityline operate flight hear excuse problem
60,fly route year
61,start cancel flight
62,maybe combine flight spare money know
63,cabin crew decent wow bad situation staff rude customer orient
64,recommend fly company
65,chance book company
66,bad airline
67,combine flight save cost
68,instead fly pristina ljubliana zürich fly pristina ljubliana münchen zürich
69,arrive later destination
70,
71,homebase airport adria airway ljubljana small relax convenient
72,surround alp departure fantastic
73,airplane modern crew nice
74,
75,drink alcohol free pay white wine
76,consider cheap ticket complain
77,upgrade available include lounge
78,
79,poor customer service
