,cluster
0,0
1,0
2,15
3,14
4,8
5,16
6,9
7,16
8,8
9,9
10,9
11,5
12,0
13,14
14,6
15,8
16,16
17,0
18,0
19,3
20,9
21,13
22,7
23,7
24,9
25,0
26,0
27,8
28,5
29,12
30,9
31,4
32,7
33,0
34,0
35,12
36,9
37,0
38,15
39,12
40,15
41,9
42,0
43,3
44,0
45,8
46,0
47,0
48,8
49,10
50,5
51,12
52,15
53,6
54,3
55,3
56,13
57,12
58,12
59,7
60,7
61,4
62,7
63,1
64,14
65,12
66,3
67,12
68,3
69,9
70,0
71,0
72,1
73,1
74,0
75,0
76,10
77,15
78,0
79,8
80,12
81,8
82,14
83,0
84,8
85,10
86,12
87,10
88,0
89,3
90,0
91,9
92,6
93,7
94,9
95,7
96,7
97,8
98,0
99,0
100,15
101,4
102,7
103,5
104,0
105,13
106,3
107,9
108,14
109,8
110,10
111,2
112,7
113,14
114,4
115,4
116,4
117,4
118,3
119,3
120,0
121,6
122,4
123,4
124,0
125,1
126,6
127,0
128,8
129,10
130,14
131,16
132,15
133,0
134,0
135,14
136,6
137,0
138,0
139,5
140,9
141,10
142,14
143,10
144,0
145,10
146,12
147,12
148,4
149,9
150,0
151,1
152,0
153,0
154,7
155,15
156,3
157,16
158,4
159,12
160,4
161,4
162,3
163,7
164,0
165,8
166,4
167,3
168,13
169,12
170,4
171,7
172,2
173,0
174,12
175,13
176,8
177,0
178,0
179,1
180,3
181,3
182,6
183,3
184,0
185,4
186,2
187,0
188,1
189,0
190,0
191,16
192,1
193,6
194,1
195,1
196,0
197,13
198,11
199,0
200,1
201,1
202,9
203,5
204,13
205,0
206,5
207,13
208,0
209,1
210,0
211,3
212,12
213,0
214,3
215,3
216,3
217,1
218,3
219,3
220,12
221,1
222,6
223,0
224,4
225,12
226,3
227,0
228,0
229,8
230,1
231,15
232,15
233,3
234,0
235,0
236,3
237,1
238,1
239,3
240,1
241,7
242,3
243,6
244,3
245,1
246,12
247,9
248,6
249,2
250,3
251,0
252,0
253,4
254,15
255,16
256,9
257,4
258,0
259,1
260,10
261,14
262,0
263,8
264,0
265,16
266,0
267,10
268,10
269,1
270,0
271,15
272,5
273,4
274,4
275,15
276,9
277,14
278,9
279,1
280,9
281,14
282,0
283,15
284,15
285,2
286,13
287,9
288,5
289,0
290,10
291,5
292,0
293,15
294,12
295,13
296,0
297,2
298,4
299,0
300,5
301,0
302,0
303,0
304,1
305,1
306,5
307,1
308,13
309,11
310,0
311,0
312,0
313,16
314,3
315,2
316,14
317,0
318,16
319,8
320,0
321,16
322,1
323,5
324,0
325,1
326,9
327,14
328,0
329,0
330,1
331,2
332,16
333,14
334,9
335,8
336,0
337,0
338,8
339,0
340,1
341,4
342,2
343,1
344,1
345,1
346,0
347,16
348,11
349,0
350,0
351,9
352,15
353,2
354,0
355,0
356,0
357,0
358,5
359,2
360,0
361,3
362,9
363,13
364,3
365,0
366,11
367,10
368,1
369,10
370,4
371,5
372,0
373,12
374,0
375,15
376,0
377,1
378,16
379,16
380,1
381,1
382,1
383,5
384,0
385,15
386,4
387,0
388,2
389,0
390,1
391,1
392,2
393,1
394,14
395,16
396,9
397,9
398,9
399,0
400,15
401,12
402,0
403,5
404,1
405,0
406,16
407,7
408,14
409,2
410,15
411,0
412,0
413,0
414,10
415,0
416,1
417,13
418,9
419,7
420,4
421,2
422,9
423,1
424,16
425,0
426,1
427,2
428,15
429,9
430,0
431,0
432,12
433,14
434,11
435,8
436,3
437,7
438,2
439,6
440,9
441,0
442,1
443,2
444,0
445,9
446,1
447,4
448,1
449,16
450,1
451,0
452,1
453,6
454,3
455,8
456,0
457,16
458,1
459,0
460,0
461,2
462,13
463,0
464,16
465,11
466,0
467,7
468,8
469,14
470,2
471,1
472,5
473,9
474,14
475,4
476,11
477,16
478,0
479,6
480,5
481,10
482,0
483,2
484,14
485,8
486,1
487,7
488,10
489,11
490,4
491,1
492,0
493,2
494,0
495,1
496,16
497,6
498,4
499,3
500,0
501,6
502,5
503,6
504,11
505,0
506,6
507,3
508,13
509,13
510,13
511,11
512,1
513,2
514,13
515,0
516,9
517,9
518,0
519,2
520,15
521,5
522,0
523,2
524,11
525,0
526,3
527,9
528,1
529,0
530,0
531,3
532,0
